No.,Page,Source PDF,Question,Choice A,Choice B,Choice C,Choice D,Choice E if there is,Correct Answer,Explanation,Exam Type,Subject Category,Difficulty,Has Image,Image Reference,Status,Notes
63,9,1. FINAL COACHING WITH ANSWER KEY.pdf,Teacher Anna dealt effectively with a minor infarction of whispering a student to a neighbor during class. Which of the following did she do?,Use non-verbal signals (gesture or facial expression),Continue to teach and ignore infarction,Reprimand student after class,Reprimand quietly,,D,,Both,Professional Education,Cannot Determine,No,,Ready for Upload,"Professional Education final coaching set. The filename says with answer key, but no usable answer key was exposed in extracted PDF text. No answer key found in extracted PDF text. Correct answer recovered from bold/highlighted answer choice in the PDF."
64,9,1. FINAL COACHING WITH ANSWER KEY.pdf,What is being shown by teachers who ignore slow-learners and take pride in the work of fast-learners?,Bullying,Hurling invectives,Cursing,Discrimination,,D,,Both,Professional Education,Cannot Determine,No,,Ready for Upload,"Professional Education final coaching set. The filename says with answer key, but no usable answer key was exposed in extracted PDF text. No answer key found in extracted PDF text. Correct answer recovered from bold/highlighted answer choice in the PDF."
65,9,1. FINAL COACHING WITH ANSWER KEY.pdf,The following are non-verbal behavior by teachers. Which one is an encouraging behavior?,Voice volume shows arrogance,"Teacher grabs, slaps students",Stands or sits that shows alertness,"Teacher frowns, sneers",,C,,Both,Professional Education,Cannot Determine,No,,Ready for Upload,"Professional Education final coaching set. The filename says with answer key, but no usable answer key was exposed in extracted PDF text. No answer key found in extracted PDF text. Correct answer recovered from bold/highlighted answer choice in the PDF."
66,9,1. FINAL COACHING WITH ANSWER KEY.pdf,The following are examples of non-verbal behavior. Which one is restricting or not acceptable mannerism by teachers?,Teacher suggests approval for students and continues with “um-hm”,Teacher moves toward student,Teacher slouches to suggest being carefree,Teacher’s intonation shows support,,C,,Both,Professional Education,Cannot Determine,No,,Ready for Upload,"Professional Education final coaching set. The filename says with answer key, but no usable answer key was exposed in extracted PDF text. No answer key found in extracted PDF text. Correct answer recovered from bold/highlighted answer choice in the PDF."
67,9,1. FINAL COACHING WITH ANSWER KEY.pdf,"Among teaching styles, how do you classify teachers who clearly and fairly communicate standards for discipline and performance to student?",Authoritarian,Uninvolved,Permissive,Authoritative,,D,,Both,Professional Education,Cannot Determine,No,,Ready for Upload,"Professional Education final coaching set. The filename says with answer key, but no usable answer key was exposed in extracted PDF text. No answer key found in extracted PDF text. Correct answer recovered from bold/highlighted answer choice in the PDF."
68,9,1. FINAL COACHING WITH ANSWER KEY.pdf,"Among teaching styles, how do you classify teachers who lack confidence in enforcing and demanding compliance to rules?",Permissive,Authoritative,Uninvolved,Authoritarian,,A,,Both,Professional Education,Cannot Determine,No,,Ready for Upload,"Professional Education final coaching set. The filename says with answer key, but no usable answer key was exposed in extracted PDF text. No answer key found in extracted PDF text. Correct answer recovered from bold/highlighted answer choice in the PDF."
69,10,1. FINAL COACHING WITH ANSWER KEY.pdf,"Among teaching styles, how do you classify teachers who are control oriented and impose rules without explanation?",Authoritative,Authoritarian,Permissive,Uninvolved,,B,,Both,Professional Education,Cannot Determine,No,,Ready for Upload,"Professional Education final coaching set. The filename says with answer key, but no usable answer key was exposed in extracted PDF text. No answer key found in extracted PDF text. Correct answer recovered from bold/highlighted answer choice in the PDF."
70,10,1. FINAL COACHING WITH ANSWER KEY.pdf,Values are subjective. Your value may not necessarily be my value. What subscribe to this thought? I. Progressivist II. PragmatistsIII. Essentialist,II and III,"I, II, and III",I and III,I and II,,D,,Both,Professional Education,Cannot Determine,No,,Ready for Upload,"Professional Education final coaching set. The filename says with answer key, but no usable answer key was exposed in extracted PDF text. No answer key found in extracted PDF text. Correct answer recovered from bold/highlighted answer choice in the PDF."
71,10,1. FINAL COACHING WITH ANSWER KEY.pdf,Students must be taught self-responsibility is the desire of the ____________ teacher.,Existentialist,Pragmatic,Constructivist,Utilitarianist,,A,,Both,Professional Education,Cannot Determine,No,,Ready for Upload,"Professional Education final coaching set. The filename says with answer key, but no usable answer key was exposed in extracted PDF text. No answer key found in extracted PDF text. Correct answer recovered from bold/highlighted answer choice in the PDF."
72,10,1. FINAL COACHING WITH ANSWER KEY.pdf,"Of the following, which is the most powerful source of values like beauty and goodness outside the school system?",Government propaganda,Nature,Commercial advertising,Mass media,,B,,Both,Professional Education,Cannot Determine,No,,Ready for Upload,"Professional Education final coaching set. The filename says with answer key, but no usable answer key was exposed in extracted PDF text. No answer key found in extracted PDF text. Correct answer recovered from bold/highlighted answer choice in the PDF."
73,10,1. FINAL COACHING WITH ANSWER KEY.pdf,"Of the following, which is the best way parents can support the learning development of their children?",Buying materials for project,Making calls on teachers,Interest and assistance in class assignments,Checking report card grades,,C,,Both,Professional Education,Cannot Determine,No,,Ready for Upload,"Professional Education final coaching set. The filename says with answer key, but no usable answer key was exposed in extracted PDF text. No answer key found in extracted PDF text. Correct answer recovered from bold/highlighted answer choice in the PDF."
74,10,1. FINAL COACHING WITH ANSWER KEY.pdf,"Teacher Ernie makes sure that he covers the essential subject content, while treating them sufficiency or in-dept. What guiding principle is he following for lesson preparation?",Balance,Feasibility,Significance,Self-sufficiency,,A,,Both,Professional Education,Cannot Determine,No,,Ready for Upload,"Professional Education final coaching set. The filename says with answer key, but no usable answer key was exposed in extracted PDF text. No answer key found in extracted PDF text. Correct answer recovered from bold/highlighted answer choice in the PDF."
75,10,1. FINAL COACHING WITH ANSWER KEY.pdf,Which of the following is a quality of an engaging learning environment most reflective of Education For All (EFA)?,Improvised to enhance learning for all types of learners,Decentralized governance,Student-centered learning activities,"Open communication for all-teachers, parents, students",,A,,Both,Professional Education,Cannot Determine,No,,Ready for Upload,"Professional Education final coaching set. The filename says with answer key, but no usable answer key was exposed in extracted PDF text. No answer key found in extracted PDF text. Correct answer recovered from bold/highlighted answer choice in the PDF."
