No.,Source PDF,Source Path,Original No.,Page,Question,Choice A,Choice B,Choice C,Choice D,Choice E if there is,Correct Answer,Explanation,Exam Type,Subject Category,Topic Slug,Difficulty,Has Image,Image Reference,Image Path,Status,Notes
56,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,55,15-16,A race car traveled for 2 ½ hours with an average speed of 132 5/8 km per hour. Find the total distance it covered.,264 5/16km,331 9/16km,330 5/16km,135 1/8km,,B,Correct answer is marked in red in the source PDF: B.,Both,Numerical Ability,word-problems,2,No,,,Ready for Upload,Word Problems and Operations. sub_topic:word-problems-sub
57,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,56,16,"If the weight of a 241-kg freight car increases 3 1/8 times when fully loaded, what will be its weight with a full load?",750 3/8kg,824 3/8kg,720 5/8kg,753 1/8kg,,D,Correct answer is marked in red in the source PDF: D.,Both,Numerical Ability,word-problems,2,No,,,Ready for Upload,Word Problems and Operations. sub_topic:word-problems-sub
58,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,57,16,How many liters will remain in 1 1000-liter storage tank if 8.2% of the liquid has evaporated due to excessive heat?,918,991.8,999.18,998,,,,Both,Numerical Ability,word-problems,2,No,,,Needs Answer,Word Problems and Operations. Could not uniquely map red answer text: a. 918 b. c. d. sub_topic:word-problems-sub
59,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,58,16,"Dante recently sold some stocks for which he originally bought for Php358. If it has increased in value by 116%, how much did he receive for the stock?",Php678.27,Php772,Php773.28,Php778,,C,Correct answer is marked in red in the source PDF: C.,Both,Numerical Ability,word-problems,2,No,,,Ready for Upload,Word Problems and Operations. sub_topic:word-problems-sub
60,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,59,16,"Mr. Manny Vargas, a real estate broker sold a building for Php175M. How much did he receive if his commission is 5.5% of the sale price of the property?",Php9.5M,Php9.7M,Php9.625M,Php180.5M,,C,Correct answer is marked in red in the source PDF: C.,Both,Numerical Ability,word-problems,2,No,,,Ready for Upload,Word Problems and Operations. sub_topic:word-problems-sub
61,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,60,16-17,"If 560 out of 700 examinees passed in the recent Career Service exam for SubProfessional level, what percent of the examinees passed?",65%,72%,80%,140%,,C,Correct answer is marked in red in the source PDF: C.,Both,Numerical Ability,word-problems,2,No,,,Ready for Upload,Word Problems and Operations. sub_topic:word-problems-sub
62,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,61,17,"Mr. Cruz borrows Php750,000 from Asian Bank and is charged Php90,000 interest. What rate of interest did Asian Bank charge for the loan?",8%,9%,10%,12%,,D,Correct answer is marked in red in the source PDF: D.,Both,Numerical Ability,word-problems,2,No,,,Ready for Upload,Word Problems and Operations. sub_topic:word-problems-sub
63,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,62,17,"A store sells shirts for Php1,078 each or 3 for Php2,997. How much would one save by buying 3 shirts at a time instead of 3 shirts, one at a time?",Php237,Php921,"Ph p 1,",237,,,,Both,Numerical Ability,word-problems,2,No,,,Needs Answer,Word Problems and Operations. Could not uniquely map red answer text: a. Php237 b. c. d. sub_topic:word-problems-sub
64,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,63,17,"A compPuhtpe1r ,c9a2n1 be rented for Php1,745 a week or Php 347.50 a day. You need the computer only for 6 days. At which rate (daily or weekly), would it be cheaper to rent and by how much cheaper?",weekly: Php340,daily: Php240,daily:Php340,weekly: Php240,,,,Both,Numerical Ability,word-problems,2,No,,,Needs Answer,Word Problems and Operations. Could not uniquely map red answer text: a. weekly: Php340 b. c. d. sub_topic:word-problems-sub
65,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,64,17,A 1.25 kg of box of Brand A detergent sells for Php 87.50. A 1.5 kg box of Brand B detergent sells for Php103.20. What is the difference in the price per kg.?,Php 1.20,Php 1.50,Php 1.80,Php 2.00,,,,Both,Numerical Ability,word-problems,2,No,,,Needs Answer,Word Problems and Operations. Could not uniquely map red answer text: a. Php 1.20 b. c. d. sub_topic:word-problems-sub
66,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,65,18,"A 30-cm long plastic pipe costs Php249. At this rate, what is the price of the pipe per meter?",Php 830,Php 840,Php 747,Php 749,,,,Both,Numerical Ability,word-problems,2,No,,,Needs Answer,Word Problems and Operations. Could not uniquely map red answer text: a. Php 830 b. c. d. sub_topic:word-problems-sub
67,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,66,18,"A homeowner can rent a chain saw from a rental agency at Php 2,700 a day. The brand new of the same saw can be bought for Php18,900. For how many days could the homeonwer rent the saw before renting would cost more than buying?",5,6,7,8,,C,Correct answer is marked in red in the source PDF: C.,Both,Numerical Ability,word-problems,2,No,,,Ready for Upload,Word Problems and Operations. sub_topic:word-problems-sub
68,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,67,18,Paula uses ten 100-watt bulbs in her house. She uses these bulbs at an average of 5 hours each day. How many KWH do these bulbs use each day?,5,10,50,"5,000",,A,Correct answer is marked in red in the source PDF: A.,Both,Numerical Ability,word-problems,2,No,,,Ready for Upload,Word Problems and Operations. sub_topic:word-problems-sub
69,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,68,18,"An electric range uses 12,200 watts per hour and is run an average of 60 hours a year. How many kilowatt-hour is this?",73.2,732,"7,320",7.32,,B,Correct answer is marked in red in the source PDF: B.,Both,Numerical Ability,word-problems,2,No,,,Ready for Upload,Word Problems and Operations. sub_topic:word-problems-sub
70,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,69,18-19,"A DVD movie, purchased for Php440 was marked up 25% on the selling price. Later, as retail prices fell, this movie was marked down 20% on the current sale price. Find its new sale price.",Php 352,Php 440,Php 500,Php 550,,B,Correct answer is marked in red in the source PDF: B.,Both,Numerical Ability,word-problems,2,No,,,Ready for Upload,Word Problems and Operations. sub_topic:word-problems-sub
71,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,70,19,"VNS Inc. bought these office supplies last week: 1,320 pens @ Php 0.125; 1,480 packs paper clips @ Php 0.625; 1,240 boxes of tape @ Php 0.875; 1,720 boxes of cards @ 0.80. A 5% sales tax is added. What was the company’s total bill?",Php 173.25,"Php 3,551",Php 971.25,"Php 3,728.55",,D,Correct answer is marked in red in the source PDF: D.,Both,Numerical Ability,word-problems,2,No,,,Ready for Upload,Word Problems and Operations. sub_topic:word-problems-sub
72,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,71,19,"The question “How many flowers are needed to border a rectangular garden?”, involves",weight,perimeter,volume,area,,,,Both,Numerical Ability,word-problems,2,No,,,Needs Answer,Word Problems and Operations. No red answer text detected. sub_topic:word-problems-sub
73,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,72,19,How many meters of fencing are needed to enclose an 84-meter by 48-meter rectangular garden?,132m,244m,264m,"4,032m2",,C,Correct answer is marked in red in the source PDF: C.,Both,Numerical Ability,word-problems,2,No,,,Ready for Upload,Word Problems and Operations. sub_topic:word-problems-sub
74,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,73,19,"How many 1-cm square stickers are needed to cover a photo box 4 cm long, 3cm wide and 5cm high?",47,60,88,94,,D,Correct answer is marked in red in the source PDF: D.,Both,Numerical Ability,word-problems,2,No,,,Ready for Upload,Word Problems and Operations. sub_topic:word-problems-sub
75,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,74,19-20,"One side of a triangle is 3cm longer than the shortest side, and the other side is 4cm longer than the shortest side. How long is the shortest side if the perimeter is 67 cm?",20 cm,23 cm,24 cm,27 cm,,,,Both,Numerical Ability,word-problems,2,No,,,Needs Answer,Word Problems and Operations. Could not uniquely map red answer text: a. 20 cm b. c. d. sub_topic:word-problems-sub
76,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,75,20,"The length of a rectangle is 2cm less than twice its width. What is its width in cm, if its perimeter is 50cm?",8,9,16,25,,B,Correct answer is marked in red in the source PDF: B.,Both,Numerical Ability,word-problems,2,No,,,Ready for Upload,Word Problems and Operations. sub_topic:word-problems-sub
77,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,1,21,"By what percent was the price per kilo of chicken inceased? 1) The price per kilo of chicken was increased by Php20 2) The price per kilo of chicken was increased by Php120 if BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.","Statement (1) alone is sufficient, but statement (2) alone is not sufficient.","Statement (2) alone is sufficient, but statement (1) alone is not sufficient.","Both statements together are sufficient, but neither statement alone is sufficient.",Each statement alone is sufficient.,Statements (1) and (2) together are not sufficient.,C,Correct answer is marked in red in the source PDF: C.,Both,Numerical Ability,data-interpretation,3,No,,,Ready for Upload,Data Sufficiency.
78,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,2,21,"A real estate broker received a commission of 8% of the selling price of a certain property, what was the selling price of the property? 1) The selling price minus the real estate agent’s commission was Php 9,200,000 2) The selling price was 250% of the original purchase price of Php 4,000,000. if each statement ALONE is sufficient","Statement (1) alone is sufficient, but statement (2) alone is not sufficient.","Statement (2) alone is sufficient, but statement (1) alone is not sufficient.","Both statements together are sufficient, but neither statement alone is sufficient.",Each statement alone is sufficient.,Statements (1) and (2) together are not sufficient.,D,Correct answer is marked in red in the source PDF: D.,Both,Numerical Ability,data-interpretation,3,No,,,Ready for Upload,Data Sufficiency.
79,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,3,21-22,"Cherry and Keanna were among those who sold raffle tickets to raise money for the club. If Cherry and Keanna sold a total of 168 tickets, how many tickets did Cherry sell? 1) Keanna sold 60% as many raffle tickets as Cherry 2) Keanna sold 8% of all the raffle tickets sold. if statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (1) alone is sufficient, but statement (2) alone is not sufficient.","Statement (2) alone is sufficient, but statement (1) alone is not sufficient.","Both statements together are sufficient, but neither statement alone is sufficient.",Each statement alone is sufficient.,Statements (1) and (2) together are not sufficient.,A,Correct answer is marked in red in the source PDF: A.,Both,Numerical Ability,data-interpretation,3,No,,,Ready for Upload,Data Sufficiency.
80,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,4,22,"What is the ratio of m : s: a? 1) a = 2, and ms = 64 2) m/s = 2 and a/s = ¼ ifstatement(2)ALONE is sufficient, but statement (1) alone is not sufficient.","Statement (1) alone is sufficient, but statement (2) alone is not sufficient.","Statement (2) alone is sufficient, but statement (1) alone is not sufficient.","Both statements together are sufficient, but neither statement alone is sufficient.",Each statement alone is sufficient.,Statements (1) and (2) together are not sufficient.,B,Correct answer is marked in red in the source PDF: B.,Both,Numerical Ability,data-interpretation,3,No,,,Ready for Upload,Data Sufficiency.
81,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,5,22,"If x and y are integers, is x divisible by 17? 1) The product xy is divisible by 17 2) y is not divisible by 17 ifBOTH statements TOGETHER are sufficient, but NEITHER statement ALONE issufficient.","Statement (1) alone is sufficient, but statement (2) alone is not sufficient.","Statement (2) alone is sufficient, but statement (1) alone is not sufficient.","Both statements together are sufficient, but neither statement alone is sufficient.",Each statement alone is sufficient.,Statements (1) and (2) together are not sufficient.,C,Correct answer is marked in red in the source PDF: C.,Both,Numerical Ability,data-interpretation,3,No,,,Ready for Upload,Data Sufficiency.
